date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:52	126231/126231	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:13%20GMT	https://colorlib.com//polygon/adminty/default/ready-cloned-elements-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-cloned-elements-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:53	126083/126083	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:13%20GMT	https://colorlib.com//polygon/adminty/default/ready-currency-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-currency-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:54	122380/122380	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com//polygon/adminty/default/ready-form-booking.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-form-booking.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:55	124365/124365	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com//polygon/adminty/default/ready-form-booking-multi-steps.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-form-booking-multi-steps.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:56	119697/119697	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com//polygon/adminty/default/ready-form-comment.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-form-comment.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:57	118624/118624	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:14%20GMT	https://colorlib.com//polygon/adminty/default/ready-form-contact.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-form-contact.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:58	129378/129378	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com//polygon/adminty/default/ready-job-application-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-job-application-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:57:59	132886/132886	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com//polygon/adminty/default/ready-js-addition-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-js-addition-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:58:00	116965/116965	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:15%20GMT	https://colorlib.com//polygon/adminty/default/ready-login-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-login-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:58:01	21968/21968	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com//polygon/adminty/default/ready-popup-modal-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-popup-modal-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:58:02	119024/119024	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com//polygon/adminty/default/ready-registration-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-registration-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
14:58:03	124667/124667	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:35:16%20GMT	https://colorlib.com//polygon/adminty/default/ready-review-form.html	/home/sulle/websites/Adminity/colorlib.com/polygon/adminty/default/ready-review-form.html	(from https://colorlib.com//polygon/adminty/default/index.html)
