rank,startup,startup_logo,sr_score,description,location,
29,SproutSocial,https://files.startupranking.com/startup/thumb/24399_1bc4aeca66ec31b51daec657a856c279d65919df_sproutsocial_s.png,86614,"Powerful Social Media Software
                         -                                         Sprout Social is a social media management tool cr ...",United States,
30,Ahrefs,https://files.startupranking.com/startup/thumb/172578_7dbde9d63f86520c5fb0aca261c030ff8fe72f38_ahrefs_s.png,86521,"Tools to grow your search traffic
                         -                                         Ahrefs is trusted by SEOs and marketing profession ...",United States,
31,Trendyol,https://files.startupranking.com/startup/thumb/1682_d99324ed53de9aad2a9addf0aa60ef6231c382cc_trendyol_s.jpg,86470,"Trendyol is the leading online fashion destination in Turkey, offering over 2000 brands to 10 million+ customers.
                         -                                         Trendyol.com seçkin markaları, özel fiyatlarla sun ...",Turkey,
32,PeoplePerHour,https://files.startupranking.com/startup/thumb/1556_18334c5fd564c3ef77ca6e36a4ce0280a87462e9_peopleperhour_s.png,86436,"Hire Freelancers Online & Find Freelance Work
                         -                                         PeoplePerHour is an online marketplace that links  ...",United Kingdom,
33,Postmates,https://files.startupranking.com/startup/thumb/18438_7d5442c7838e8076aaf3b3a0edc80cc2534cf92b_postmates_s.png,86430,"On-Demand Delivery
                         -                                         Postmates is transforming the way local goods move ...",United States,
34,IFTTT,https://files.startupranking.com/startup/thumb/7845_36790d08a8d0b7a5ae933e3bc5a9dc37ab986e2d_ifttt_s.jpg,86410,"Do more with the services you love
                         -                                         IFTTT (if this then that) puts the internet to wor ...",United States,
35,Base,https://files.startupranking.com/startup/thumb/2156_50682137103daf2c786636146781ec0aa06855fa_base_s.png,86372,"Online shop easy creation for free
                         -                                         Base - ネットショップ作成が、今までで１番簡単に。ネットショップをつくるのに、もう「勉強」と「 ...",Japan,
36,DataCamp,https://files.startupranking.com/startup/thumb/14669_880d6fad20f7e331cf34988b8c8a3ab4d9276d0d_datacamp_s.png,86305,"DataCamp is a young team of data analytics enthusiasts that provide free interactive data science and statistics education to the world.
                         -                                         DataCamp - Become a data expert now. DataCamp is a ...",Belgium,
37,Zapier,https://files.startupranking.com/startup/thumb/5310_6e5d2b14d033b9ab88111b7b7164f3139c52ed10_zapier_s.png,86097,"All-in-one web application integrations
                         -                                         Zapier lets you create integrations between the bu ...",United States,
38,Spreaker,https://files.startupranking.com/startup/thumb/7183_6c924b2f1089dacbdb874010e5e1c6bc8246dd0b_spreaker_s.png,86014,"Much more than Youtube for radio
                         -                                         Spreaker allows you to create your own online radi ...",United States,
39,8tracks,https://files.startupranking.com/startup/thumb/14087_f78c190cde6adec98c5d2a2468cd4fc4b1a6ea02_8tracks_s.png,85976,"Internet radio - Free music playlists
                         -                                         8tracks is a simple way for people to share and di ...",United States,
40,Gleam,https://files.startupranking.com/startup/thumb/6029_28c9ddb985c98e2b4b05477dad104e18ee1ce330_gleam_s.png,85944,"Mobile fashion discovery and intelligence platform that brings engagement between style lovers and the industry to the next level.
                         -                                         Gleam - Drive the growth your business needs & the ...",Australia,
41,Tokyo Otaku Mode,https://files.startupranking.com/startup/thumb/2120_b14a21eb73c1690bf7bac179460ddd92828b57b1_tokyo-otaku-mode_s.png,85923,"Destination for fans of Japanese pop culture
                         -                                         TokyoOtakuMode is all about sharing Japanese otaku ...",Japan,
42,LocalBitcoins,https://files.startupranking.com/startup/thumb/2985_08c01d85a965b0dee022724ac21823788dcad64b_localbitcoins_s.png,85914,"At LocalBitcoins.com, people from different countries can exchange their local currency to bitcoins.
                         -                                         LocalBitcoins.com is a marketplace for trading bit ...",Finland,
43,TradingView,https://files.startupranking.com/startup/thumb/2949_e4aa294a5376403543cce4a33c4ed676a41530e0_tradingview_s.jpg,85859,"Single entry point to the financial markets
                         -                                         TradingView is not just an awesome tool, it’s also ...",Russia,
44,Twilio,https://files.startupranking.com/startup/thumb/5171_7c6280d4afb81356305ce6a15caac79533e9fb36_twilio_s.png,85835,"APIs for Text Messaging, VoIP & Voice in the Cloud
                         -                                         We are changing communications forever by empoweri ...",United States,
45,Babbel,https://files.startupranking.com/startup/thumb/274_639f9f6f825ee405d9162409fc0845afdb06ed62_babbel_s.png,85767,"Learn Spanish, French or Other Languages Online
                         -                                         Interactive online courses on the web and as mobil ...",Germany,
46,Typeform,https://files.startupranking.com/startup/thumb/2672_d591c1e45888cc47aaf370cbf4519b0f7b975d84_typeform_s.jpg,85748,"Making online forms and surveys awesome
                         -                                         Typeform - With no code or design experience neces ...",Spain,
47,Freepik,https://files.startupranking.com/startup/thumb/27168_b55a858cc4a85946028a3e244a9cccfdbd3fa295_freepik_s.jpg,85732,"Free vectors, photos and PSD Downloads
                         -                                         Freepik is a site in which you’ll find thousands o ...",Spain,
48,99designs,https://files.startupranking.com/startup/thumb/24090_604f0eb0e55d98162b3484c09f778cded20ac536_99designs_s.png,85704,"Logos, Web, Graphic Design & More
                         -                                         The #1 marketplace for graphic design, including l ...",Australia,
49,ZipRecruiter,https://files.startupranking.com/startup/thumb/6437_8ed5dfd31d7c1ca42fcfa4e6d83b0cc445cb21f0_ziprecruiter_s.jpg,85644,"Job Search - Millions of Jobs Hiring Near You
                         -                                         ZipRecruiter is literally the fastest way to put a ...",United States,
50,Influenster,https://files.startupranking.com/startup/thumb/22305_6bf99518d421e532ab95264244ec38c8687d7cb0_influenster_s.png,85609,"A product discovery and reviews platform that enables consumers to find new products and get advice to make informed purchases.
                         -                                         Influenster is the ultimate hub for product discov ...",United States,
51,Musixmatch,https://files.startupranking.com/startup/thumb/3354_9b88337ee40e5d653218d0bcd1cb3c11a39c6236_musixmatch_s.png,85587,"The world's largest lyrics catalog
                         -                                         World's largest Lyrics Catalogue available on Mobi ...",Italy,
52,Olacabs,https://files.startupranking.com/startup/thumb/2389_41674ec643b25bfd350c08da509517389c159af8_olacabs_s.jpg,85567,"Book a cab in India
                         -                                         Olacabs is India's largest online cab aggregator f ...",India,
53,Truecaller,https://files.startupranking.com/startup/thumb/2098_dc8152a48c7ff42faedf3030e858e94ac683572b_truecaller_s.png,85540,"Phone Number Search
                         -                                         Truecaller is the world's largest collaborative ph ...",Sweden,
54,Treehouse,https://files.startupranking.com/startup/thumb/9743_c467329a29671fc6688cdfcc96c4c238bf300086_treehouse_s.png,85523,"Start Learning for Free
                         -                                         Treehouse aims to be the best way to learn web des ...",United States,
55,SKOOB,https://files.startupranking.com/startup/thumb/462_b91e81fcd11c811f8c96f8a278e0cddda08834e3_skoob_s.png,85508,"A rede social para quem ama ler
                         -                                         Diga-me que livro você está lendo, que te direi qu ...",Brazil,
56,About.me,https://files.startupranking.com/startup/thumb/7751_81a834e33ef4f71b936f82d097c992658596ded7_about-me_s.jpg,85503,"Grow your audience and get more clients
                         -                                         It’s all about you! about.me makes it easy for peo ...",United States,
57,Stores,https://files.startupranking.com/startup/thumb/2154_c4698490822961c30281bb4e9bee32391d36276b_stores_s.jpg,85403,Stores - 最短２分で、誰にでも簡単にオンラインストアが作れる『Stores.jp（ストアーズ・ドット・ジェーピー）』。,Japan,
58,Toggl,https://files.startupranking.com/startup/thumb/4557_288acd765d4413d65ab62c288554a70c7552f786_toggl_s.png,85382,"Toggl offers an online time tracking software specifically designed for freelancers, graphic designers and consultants.
                         -                                         Toggl - Time tracking tool that works in your brow ...",Estonia,
